control_id,template,line,kind,tag,label_or_expression,element_id,name,type,destination_or_expression,form_action,form_method,handlers,explicit_disabled,review_candidates,functional_status
CONTROL-02637,templates/partials/planning/view_toggle_and_calendar.html,23,button,button,Calendar View,,,button,,,,"{""@click"": ""activeView = 'calendar'""}",False,,Not individually executed
CONTROL-02638,templates/partials/priorities/distribution_view.html,45,field,select,FY{{ year }},ia-master-fy,fy,,,/target-distribution,get,{},False,,Not individually executed
CONTROL-02639,templates/partials/priorities/distribution_view.html,79,button,button,Continue distribution Distribute to Program Leads,,,button,,,,{},False,,Not individually executed
CONTROL-02640,templates/partials/priorities/distribution_view.html,91,button,button,Review distribution,,,button,,,,{},False,,Not individually executed
CONTROL-02641,templates/partials/priorities/distribution_view.html,94,button,button,Awaiting publication,,,button,,,,{},True,,Not individually executed
CONTROL-02642,templates/partials/priorities/distribution_view.html,98,button,button,Continue confirmation,,,button,,,,{},False,,Not individually executed
CONTROL-02643,templates/partials/priorities/distribution_view.html,101,link,a,Review governed master,,,,#master-milestones-title,,,{},False,,Not individually executed
CONTROL-02644,templates/partials/priorities/distribution_view.html,158,button,button,Publish FY{{ fy }} master,,,submit,,/target-distribution/action,post,{},False,,Not individually executed
CONTROL-02645,templates/partials/priorities/distribution_view.html,159,button,button,{{ kpis.needsConfirmation }} confirmation{{ kpis.needsConfirmation|pluralize }} remaining,,,button,,,,{},True,,Not individually executed
CONTROL-02646,templates/partials/priorities/distribution_view.html,168,disclosure,summary,Filters {{ active_filter_count }},,,,,,,{},False,,Not individually executed
CONTROL-02647,templates/partials/priorities/distribution_view.html,172,field,select,All groups {{ group.priority.title }},ia-filter-priority,priority,,,/target-distribution,get,{},False,,Not individually executed
CONTROL-02648,templates/partials/priorities/distribution_view.html,173,field,select,All portfoliosCore targetsClient targets,ia-filter-portfolio,portfolio,,,/target-distribution,get,{},False,,Not individually executed
CONTROL-02649,templates/partials/priorities/distribution_view.html,174,field,select,All statusesPublishedBalance openReady to approveDistributedNeeds confirmation,ia-filter-status,status,,,/target-distribution,get,{},False,,Not individually executed
CONTROL-02650,templates/partials/priorities/distribution_view.html,175,link,a,Clear,,,,?fy={{ fy }}&tab={{ selected.tab }},/target-distribution,get,{},False,,Not individually executed
CONTROL-02651,templates/partials/priorities/distribution_view.html,175,button,button,Apply filters,,,submit,,/target-distribution,get,{},False,,Not individually executed
CONTROL-02652,templates/partials/priorities/distribution_view.html,187,link,a,All milestones,,,,?fy={{ fy }}&tab=all,,,{},False,,Not individually executed
CONTROL-02653,templates/partials/priorities/distribution_view.html,188,link,a,Field cascade,,,,?fy={{ fy }}&tab=field_cascade,,,{},False,,Not individually executed
CONTROL-02654,templates/partials/priorities/distribution_view.html,189,link,a,Project / specialist,,,,?fy={{ fy }}&tab=specialist,,,{},False,,Not individually executed
CONTROL-02655,templates/partials/priorities/distribution_view.html,190,link,a,Country owned,,,,?fy={{ fy }}&tab=country_owned,,,{},False,,Not individually executed
CONTROL-02656,templates/partials/priorities/distribution_view.html,191,link,a,Non-scoreable,,,,?fy={{ fy }}&tab=non_scoreable,,,{},False,,Not individually executed
CONTROL-02657,templates/partials/priorities/distribution_view.html,201,link,a,Clear all,,,,?fy={{ fy }}&tab={{ selected.tab }},,,{},False,,Not individually executed
CONTROL-02658,templates/partials/priorities/distribution_view.html,234,button,button,Review Approve Continue distributing Distribute {{ row.milestone.title }},,,button,,,,{},False,,Not individually executed
CONTROL-02659,templates/partials/priorities/distribution_view.html,238,button,button,Confirm source figure,,,button,,,,{},False,,Not individually executed
CONTROL-02660,templates/partials/priorities/distribution_view.html,240,disclosure,summary,View milestone details,,,,,,,{},False,,Not individually executed
CONTROL-02661,templates/partials/priorities/distribution_view.html,249,link,a,Previous page,,,,?                   {{ page_query }}&           page={{ page_obj.previous_page_number }},,,{},False,,Not individually executed
CONTROL-02662,templates/partials/priorities/distribution_view.html,249,link,a,{{ number }},,,,?                   {{ page_query }}&           page={{ number }},,,{},False,,Not individually executed
CONTROL-02663,templates/partials/priorities/distribution_view.html,249,link,a,Next page,,,,?                   {{ page_query }}&           page={{ page_obj.next_page_number }},,,{},False,,Not individually executed
CONTROL-02664,templates/partials/priorities/distribution_view.html,258,button,button,Close distribution workspace,,,button,,,,{},False,,Not individually executed
CONTROL-02665,templates/partials/priorities/distribution_view.html,261,field,select,Select priority group {{ priority.title }},ia-distribution-group,,,,,,{},False,No submitted name or direct model; check JS binding,Not individually executed
CONTROL-02666,templates/partials/priorities/distribution_view.html,262,field,select,Select milestone {{ row.milestone.title }},ia-distribution-milestone,,,,,,{},False,No submitted name or direct model; check JS binding,Not individually executed
CONTROL-02667,templates/partials/priorities/distribution_view.html,272,button,button,Close confirmation workspace,,,button,,,,{},False,,Not individually executed
CONTROL-02668,templates/partials/priorities/distribution_view.html,275,field,input,,confirm-target,targetValue,number,,/target-distribution/action,post,{},False,,Not individually executed
CONTROL-02669,templates/partials/priorities/distribution_view.html,275,field,input,,confirm-core,coreTarget,number,,/target-distribution/action,post,{},False,,Not individually executed
CONTROL-02670,templates/partials/priorities/distribution_view.html,275,field,input,,confirm-client,clientTarget,number,,/target-distribution/action,post,{},False,,Not individually executed
CONTROL-02671,templates/partials/priorities/distribution_view.html,275,field,input,,confirm-participants,participantsPerSchool,number,,/target-distribution/action,post,{},False,,Not individually executed
CONTROL-02672,templates/partials/priorities/distribution_view.html,276,field,select,Field cascade (IA → PL → CCEO)Project / specialist teamCountry-ownedNon-scoreable / pending definition,confirm-method,allocationMethod,,,/target-distribution/action,post,{},False,,Not individually executed
CONTROL-02673,templates/partials/priorities/distribution_view.html,277,field,input,How the source ambiguity was resolved,confirm-note,confirmationNote,,,/target-distribution/action,post,{},False,,Not individually executed
CONTROL-02674,templates/partials/priorities/distribution_view.html,278,button,button,Cancel,,,button,,/target-distribution/action,post,{},False,,Not individually executed
CONTROL-02675,templates/partials/priorities/distribution_view.html,278,button,button,Confirm source figure,,,submit,,/target-distribution/action,post,{},False,,Not individually executed
CONTROL-02676,templates/partials/priorities/guidance_inbox.html,40,button,button,{{ action.label }},,,button,{{ action.drawer }},,,"{""hx-get"": ""{{ action.drawer }}"", ""hx-target"": ""#drawer-container"", ""hx-swap"": ""innerHTML""}",False,,Not individually executed
CONTROL-02677,templates/partials/priorities/guidance_view.html,25,button,button,{{ action.label }},,,button,{{ action.drawer }},,,"{""hx-get"": ""{{ action.drawer }}"", ""hx-target"": ""#drawer-container"", ""hx-swap"": ""innerHTML""}",False,,Not individually executed
CONTROL-02678,templates/partials/priorities/guidance_view.html,49,field,select,{{ field.blank }} {{ option.1 }},,{{ field.name }},,,/priorities/guidance,get,"{""@change"": ""$el.form.requestSubmit()""}",False,,Not individually executed
CONTROL-02679,templates/partials/priorities/guidance_view.html,84,button,button,{{ action.label }},,,button,{{ action.drawer }},,,"{""hx-get"": ""{{ action.drawer }}"", ""hx-target"": ""#drawer-container"", ""hx-swap"": ""innerHTML""}",False,,Not individually executed
CONTROL-02680,templates/partials/priorities/master_view.html,31,field,select,FY{{ option }},priorities-fy,fy,,,,get,"{""@change"": ""$el.form.submit()""}",False,,Not individually executed
CONTROL-02681,templates/partials/priorities/setting_view.html,48,field,select,FY{{ year }},priority-fy,fy,,,/strategic-priorities,get,{},False,,Not individually executed
CONTROL-02682,templates/partials/priorities/setting_view.html,140,disclosure,summary,{{ milestone.title }} details,,,,,,,{},False,,Not individually executed
CONTROL-02683,templates/partials/priorities/setting_view.html,181,button,button,Resolve {{ needs_definition_count }} definitions first,,,button,,,,{},True,,Not individually executed
CONTROL-02684,templates/partials/priorities/setting_view.html,183,button,button,Approve {{ pending_approval_count }} definitions first,,,button,,,,{},True,,Not individually executed
CONTROL-02685,templates/partials/priorities/setting_view.html,185,button,button,Approve FY{{ cycle.financial_year }} cycle,,,submit,,/strategic-priorities/cycles/{{ cycle.id }}/approve,post,{},False,,Not individually executed
CONTROL-02686,templates/partials/priorities/team_view.html,26,field,select,FY{{ year }},team-distribution-fy,fy,,,/target-distribution/team,get,{},False,,Not individually executed
CONTROL-02687,templates/partials/priorities/team_view.html,36,button,button,{{ next_team_distribution.actionLabel }},,,button,,,,{},False,,Not individually executed
CONTROL-02688,templates/partials/priorities/team_view.html,61,button,button,{{ row.actionLabel }} for {{ row.milestone.title }},,,button,,,,{},False,,Not individually executed
CONTROL-02689,templates/partials/priorities/team_view.html,64,disclosure,summary,View team delivery and quarterly spread {{ row.memberRows|length }} holder{{ row.memberRows|length|pluralize }},,,,,,,{},False,,Not individually executed
CONTROL-02690,templates/partials/priorities/team_view.html,64,field,input,{{ value }},quarter-{{ member.allocation.id }}-{{ quarter }},{{ quarter|lower }},number,,/target-distribution/team/action,post,{},False,,Not individually executed
CONTROL-02691,templates/partials/priorities/team_view.html,64,button,button,Approve spread,,,submit,,/target-distribution/team/action,post,{},False,,Not individually executed
CONTROL-02692,templates/partials/priorities/team_view.html,71,button,button,Close team distribution workspace,,,button,,,,{},False,,Not individually executed
CONTROL-02693,templates/partials/professional_development/_request_summary.html,14,link,a,{{ instance.course_link }},,,,{{ instance.course_link }},,,{},False,,Not individually executed
CONTROL-02694,templates/partials/professional_development/_request_summary.html,55,link,a,{{ e.original_name }} · {{ e.get_kind_display }} Returned,,,,/my-professional-development/evidence/{{ e.id }},,,{},False,,Not individually executed
CONTROL-02695,templates/partials/professional_development/_request_summary.html,68,link,a,Returned Verified,,,,/my-professional-development/certificate/{{ c.id }},,,{},False,,Not individually executed
CONTROL-02696,templates/partials/professional_development/body.html,66,button,button,Open course →,,,button,/my-professional-development/request?id={{ current_course.id }},,,"{""hx-get"": ""/my-professional-development/request?id={{ current_course.id }}"", ""hx-target"": ""#drawer-container"", ""hx-swap"": ""innerHTML""}",False,,Not individually executed
CONTROL-02697,templates/partials/professional_development/body.html,71,button,button,View details →,,,button,/my-professional-development/request?id={{ current_course.id }},,,"{""hx-get"": ""/my-professional-development/request?id={{ current_course.id }}"", ""hx-target"": ""#drawer-container"", ""hx-swap"": ""innerHTML""}",False,,Not individually executed
CONTROL-02698,templates/partials/professional_development/body.html,81,button,button,Request Professional Development,,,button,/my-professional-development/request,,,"{""hx-get"": ""/my-professional-development/request"", ""hx-target"": ""#drawer-container"", ""hx-swap"": ""innerHTML""}",False,,Not individually executed
CONTROL-02699,templates/partials/professional_development/body.html,91,button,button,View Full Timeline →,,,button,/my-professional-development/request?id={{ current_course.id }},,,"{""hx-get"": ""/my-professional-development/request?id={{ current_course.id }}"", ""hx-target"": ""#drawer-container"", ""hx-swap"": ""innerHTML""}",False,,Not individually executed
CONTROL-02700,templates/partials/professional_development/body.html,139,button,button,{{ a.button }},,,button,/my-professional-development/request?id={{ a.request_id }},,,"{""hx-get"": ""/my-professional-development/request?id={{ a.request_id }}"", ""hx-target"": ""#drawer-container"", ""hx-swap"": ""innerHTML""}",False,,Not individually executed
CONTROL-02701,templates/partials/professional_development/body.html,157,button,button,"{{ r.label }} {{ r.date|date:""d M Y"" }}",,,button,/my-professional-development/request?id={{ r.id }},,,"{""hx-get"": ""/my-professional-development/request?id={{ r.id }}"", ""hx-target"": ""#drawer-container"", ""hx-swap"": ""innerHTML""}",False,,Not individually executed
CONTROL-02702,templates/partials/professional_development/body.html,176,link,a,View all →,,,,/messages,,,{},False,,Not individually executed
CONTROL-02703,templates/partials/professional_development/body.html,181,link,a,{{ m.sender_name|avatar_initials }} {{ m.sender_name }} {{ m.body }},,,,/messages                     ?thread={{ m.context_id }}           ,,,{},False,,Not individually executed
CONTROL-02704,templates/partials/professional_development/body.html,200,button,button,View PD Policy & Guidelines,,,button,,,,"{""@click"": ""showPolicy = true""}",False,,Not individually executed
CONTROL-02705,templates/partials/professional_development/body.html,205,button,button,My PD Allocation History,,,button,/my-professional-development/allocation-history,,,"{""hx-get"": ""/my-professional-development/allocation-history"", ""hx-target"": ""#drawer-container"", ""hx-swap"": ""innerHTML""}",False,,Not individually executed
CONTROL-02706,templates/partials/professional_development/body.html,210,link,a,Download PD Report,,,,/my-professional-development/export?fy={{ fy }},,,{},False,,Not individually executed
CONTROL-02707,templates/partials/professional_development/body.html,215,link,a,Message HR,,,,/messages?context_type=professional_development                       &context_id={{ current_course.id }}           ,,,{},False,,Not individually executed
CONTROL-02708,templates/partials/professional_development/body.html,228,button,button,All ({{ courses|length }}),,,button,,,,"{""@click"": ""tab = 'all'""}",False,,Not individually executed
CONTROL-02709,templates/partials/professional_development/body.html,229,button,button,In Progress ({{ in_progress_count }}),,,button,,,,"{""@click"": ""tab = 'in_progress'""}",False,,Not individually executed
CONTROL-02710,templates/partials/professional_development/body.html,230,button,button,Completed ({{ completed_count }}),,,button,,,,"{""@click"": ""tab = 'completed'""}",False,,Not individually executed
CONTROL-02711,templates/partials/professional_development/body.html,231,button,button,Cancelled ({{ cancelled_count }}),,,button,,,,"{""@click"": ""tab = 'cancelled'""}",False,,Not individually executed
CONTROL-02712,templates/partials/professional_development/completion_upload.html,48,field,select,Certificate Transcript,,document_type,,,/my-professional-development/request/{{ course.id }}/certificate,post,{},False,,Not individually executed
CONTROL-02713,templates/partials/professional_development/completion_upload.html,57,field,input,,,file,file,,/my-professional-development/request/{{ course.id }}/certificate,post,{},False,,Not individually executed
CONTROL-02714,templates/partials/professional_development/completion_upload.html,60,button,button,Upload another Upload proof,,,submit,,/my-professional-development/request/{{ course.id }}/certificate,post,{},False,,Not individually executed
CONTROL-02715,templates/partials/professional_development/request_form.html,21,button,button,Approve & Send to HR,,,submit,,/my-professional-development/request/{{ instance.id }}/action,post,{},False,,Not individually executed
CONTROL-02716,templates/partials/professional_development/request_form.html,25,field,textarea,Reason for returning to the employee…,,note,,,/my-professional-development/request/{{ instance.id }}/action,post,{},False,,Not individually executed
CONTROL-02717,templates/partials/professional_development/request_form.html,26,button,button,Return to Employee,,,submit,,/my-professional-development/request/{{ instance.id }}/action,post,{},False,,Not individually executed
CONTROL-02718,templates/partials/professional_development/request_form.html,39,field,input,true,,exception,checkbox,,/my-professional-development/request/{{ instance.id }}/action,post,{},False,,Not individually executed
CONTROL-02719,templates/partials/professional_development/request_form.html,43,button,button,Approve Request,,,submit,,/my-professional-development/request/{{ instance.id }}/action,post,{},False,,Not individually executed
CONTROL-02720,templates/partials/professional_development/request_form.html,47,field,textarea,Reason for returning to the employee…,,note,,,/my-professional-development/request/{{ instance.id }}/action,post,{},False,,Not individually executed
CONTROL-02721,templates/partials/professional_development/request_form.html,48,button,button,Return to Employee,,,submit,,/my-professional-development/request/{{ instance.id }}/action,post,{},False,,Not individually executed
CONTROL-02722,templates/partials/professional_development/request_form.html,52,field,textarea,Reason for rejecting (optional)…,,note,,,/my-professional-development/request/{{ instance.id }}/action,post,{},False,,Not individually executed
CONTROL-02723,templates/partials/professional_development/request_form.html,53,button,button,Reject Request,,,submit,,/my-professional-development/request/{{ instance.id }}/action,post,{},False,,Not individually executed
CONTROL-02724,templates/partials/professional_development/request_form.html,60,field,select,Method,,method,,,/my-professional-development/fund/{{ instance.fund_request.id }}/action,post,{},False,,Not individually executed
CONTROL-02725,templates/partials/professional_development/request_form.html,63,field,input,Payment reference,,reference,text,,/my-professional-development/fund/{{ instance.fund_request.id }}/action,post,{},False,,Not individually executed
CONTROL-02726,templates/partials/professional_development/request_form.html,64,button,button,Disburse Funds,,,submit,,/my-professional-development/fund/{{ instance.fund_request.id }}/action,post,{},False,,Not individually executed
CONTROL-02727,templates/partials/professional_development/request_form.html,68,field,textarea,Hold reason…,,reason,,,/my-professional-development/fund/{{ instance.fund_request.id }}/action,post,{},False,,Not individually executed
CONTROL-02728,templates/partials/professional_development/request_form.html,69,button,button,Hold,,,submit,,/my-professional-development/fund/{{ instance.fund_request.id }}/action,post,{},False,,Not individually executed
CONTROL-02729,templates/partials/professional_development/request_form.html,73,field,textarea,Return reason…,,reason,,,/my-professional-development/fund/{{ instance.fund_request.id }}/action,post,{},False,,Not individually executed
CONTROL-02730,templates/partials/professional_development/request_form.html,74,button,button,Return to HR,,,submit,,/my-professional-development/fund/{{ instance.fund_request.id }}/action,post,{},False,,Not individually executed
CONTROL-02731,templates/partials/professional_development/request_form.html,87,button,button,Clear Accountability,,,submit,,/my-professional-development/fund/{{ instance.fund_request.id }}/action,post,{},False,,Not individually executed
CONTROL-02732,templates/partials/professional_development/request_form.html,91,field,textarea,Reason for returning accountability…,,reason,,,/my-professional-development/fund/{{ instance.fund_request.id }}/action,post,{},False,,Not individually executed
CONTROL-02733,templates/partials/professional_development/request_form.html,92,button,button,Return Accountability,,,submit,,/my-professional-development/fund/{{ instance.fund_request.id }}/action,post,{},False,,Not individually executed
CONTROL-02734,templates/partials/professional_development/request_form.html,106,button,button,Sign Off & Close,,,submit,,/my-professional-development/request/{{ instance.id }}/action,post,{},True,,Not individually executed
CONTROL-02735,templates/partials/professional_development/request_form.html,111,field,select,Reason category,,reason_category,,,/my-professional-development/request/{{ instance.id }}/action,post,{},False,,Not individually executed
CONTROL-02736,templates/partials/professional_development/request_form.html,114,field,textarea,Note for the employee…,,note,,,/my-professional-development/request/{{ instance.id }}/action,post,{},False,,Not individually executed
CONTROL-02737,templates/partials/professional_development/request_form.html,115,button,button,Return for Correction,,,submit,,/my-professional-development/request/{{ instance.id }}/action,post,{},False,,Not individually executed
CONTROL-02738,templates/partials/professional_development/request_form.html,148,field,input,Course name,,course_name,text,,/my-professional-development/request,post,{},False,,Not individually executed
CONTROL-02739,templates/partials/professional_development/request_form.html,153,field,input,e.g. Leadership Development,,course_category,text,,/my-professional-development/request,post,{},False,,Not individually executed
CONTROL-02740,templates/partials/professional_development/request_form.html,157,field,select,Course type,,course_type,,,/my-professional-development/request,post,{},False,,Not individually executed
CONTROL-02741,templates/partials/professional_development/request_form.html,165,field,input,Institution,,institution,text,,/my-professional-development/request,post,{},False,,Not individually executed
CONTROL-02742,templates/partials/professional_development/request_form.html,169,field,input,https://…,,course_link,url,,/my-professional-development/request,post,{},False,,Not individually executed
CONTROL-02743,templates/partials/professional_development/request_form.html,174,field,input,Start date,,start_date,date,,/my-professional-development/request,post,{},False,,Not individually executed
CONTROL-02744,templates/partials/professional_development/request_form.html,178,field,input,End date,,end_date,date,,/my-professional-development/request,post,{},False,,Not individually executed
CONTROL-02745,templates/partials/professional_development/request_form.html,182,field,input,,,certification_expected,checkbox,,/my-professional-development/request,post,{},False,,Not individually executed
CONTROL-02746,templates/partials/professional_development/request_form.html,188,field,textarea,Relevance to role,,relevance_to_role,,,/my-professional-development/request,post,{},False,,Not individually executed
CONTROL-02747,templates/partials/professional_development/request_form.html,192,field,textarea,Skills to develop,,skills_to_develop,,,/my-professional-development/request,post,{},False,,Not individually executed
CONTROL-02748,templates/partials/professional_development/request_form.html,197,field,textarea,Expected benefit,,expected_benefit,,,/my-professional-development/request,post,{},False,,Not individually executed
CONTROL-02749,templates/partials/professional_development/request_form.html,201,field,textarea,Work time impact,,work_time_impact,,,/my-professional-development/request,post,{},False,,Not individually executed
CONTROL-02750,templates/partials/professional_development/request_form.html,211,link,a,{{ e.original_name }} · {{ e.get_kind_display }},,,,/my-professional-development/evidence/{{ e.id }},/my-professional-development/request,post,{},False,,Not individually executed
CONTROL-02751,templates/partials/professional_development/request_form.html,217,field,select,Kind,,kind,,,/my-professional-development/request,post,{},False,,Not individually executed
CONTROL-02752,templates/partials/professional_development/request_form.html,238,field,input,Course fee,,course_fee,number,,/my-professional-development/request,post,{},False,,Not individually executed
CONTROL-02753,templates/partials/professional_development/request_form.html,242,field,input,Other costs,,other_costs,number,,/my-professional-development/request,post,{},False,,Not individually executed
CONTROL-02754,templates/partials/professional_development/request_form.html,246,field,input,Employee contribution,,employee_contribution,number,,/my-professional-development/request,post,{},False,,Not individually executed
CONTROL-02755,templates/partials/professional_development/request_form.html,250,field,input,Requested amount,,requested_amount,number,,/my-professional-development/request,post,{},False,,Not individually executed
CONTROL-02756,templates/partials/professional_development/request_form.html,255,field,select,Funding type,,funding_type,,,/my-professional-development/request,post,{},False,,Not individually executed
CONTROL-02757,templates/partials/professional_development/request_form.html,262,field,input,Institution or employee,,payment_recipient,text,,/my-professional-development/request,post,{},False,,Not individually executed
CONTROL-02758,templates/partials/professional_development/request_form.html,266,field,input,Bank / mobile money details,,payment_details,text,,/my-professional-development/request,post,{},False,,Not individually executed
CONTROL-02759,templates/partials/professional_development/request_form.html,271,field,textarea,Exception reason,,exception_reason,,,/my-professional-development/request,post,{},False,,Not individually executed
CONTROL-02760,templates/partials/professional_development/request_form.html,283,button,button,Save Draft,,intent,submit,,/my-professional-development/request,post,{},False,,Not individually executed
CONTROL-02761,templates/partials/professional_development/request_form.html,284,button,button,Submit for Approval,,intent,submit,,/my-professional-development/request,post,{},False,,Not individually executed
CONTROL-02762,templates/partials/professional_development/request_form.html,287,button,button,Cancel this draft,,action,submit,,/my-professional-development/request,post,{},False,,Not individually executed
CONTROL-02763,templates/partials/professional_development/request_form.html,293,field,input,,,file,file,,/my-professional-development/request/{{ instance.id }}/evidence,post,{},False,,Not individually executed
CONTROL-02764,templates/partials/professional_development/request_form.html,294,button,button,Upload Evidence,,,submit,,/my-professional-development/request/{{ instance.id }}/evidence,post,{},False,,Not individually executed
CONTROL-02765,templates/partials/professional_development/request_form.html,314,field,input,Enrollment date,,enrollment_date,date,,/my-professional-development/request/{{ instance.id }}/action,post,{},False,,Not individually executed
CONTROL-02766,templates/partials/professional_development/request_form.html,315,field,input,Enrollment reference,,enrollment_reference,text,,/my-professional-development/request/{{ instance.id }}/action,post,{},False,,Not individually executed
CONTROL-02767,templates/partials/professional_development/request_form.html,317,button,button,Confirm Enrollment,,,submit,,/my-professional-development/request/{{ instance.id }}/action,post,{},False,,Not individually executed
CONTROL-02768,templates/partials/professional_development/request_form.html,323,disclosure,summary,Defer or withdraw,,,,,,,{},False,,Not individually executed
CONTROL-02769,templates/partials/professional_development/request_form.html,326,field,textarea,Reason…,,note,,,/my-professional-development/request/{{ instance.id }}/action,post,{},False,,Not individually executed
CONTROL-02770,templates/partials/professional_development/request_form.html,328,button,button,Defer,,action,submit,,/my-professional-development/request/{{ instance.id }}/action,post,{},False,,Not individually executed
CONTROL-02771,templates/partials/professional_development/request_form.html,329,button,button,Withdraw,,action,submit,,/my-professional-development/request/{{ instance.id }}/action,post,{},False,,Not individually executed
CONTROL-02772,templates/partials/professional_development/request_form.html,339,field,input,Actual completion date,,actual_completion_date,date,,/my-professional-development/request/{{ instance.id }}/action,post,{},False,,Not individually executed
CONTROL-02773,templates/partials/professional_development/request_form.html,341,field,textarea,Course outcome,,course_outcome,,,/my-professional-development/request/{{ instance.id }}/action,post,{},False,,Not individually executed
CONTROL-02774,templates/partials/professional_development/request_form.html,343,field,textarea,Skills gained,,skills_gained,,,/my-professional-development/request/{{ instance.id }}/action,post,{},False,,Not individually executed
CONTROL-02775,templates/partials/professional_development/request_form.html,345,field,textarea,Application plan,,application_plan,,,/my-professional-development/request/{{ instance.id }}/action,post,{},False,,Not individually executed
CONTROL-02776,templates/partials/professional_development/request_form.html,346,button,button,Mark Complete,,,submit,,/my-professional-development/request/{{ instance.id }}/action,post,{},False,,Not individually executed
CONTROL-02777,templates/partials/professional_development/request_form.html,353,field,input,,,file,file,,/my-professional-development/request/{{ instance.id }}/certificate,post,{},False,,Not individually executed
CONTROL-02778,templates/partials/professional_development/request_form.html,354,field,input,Certificate name,,certificate_name,text,,/my-professional-development/request/{{ instance.id }}/certificate,post,{},False,,Not individually executed
CONTROL-02779,templates/partials/professional_development/request_form.html,356,field,input,Certificate number,,certificate_number,text,,/my-professional-development/request/{{ instance.id }}/certificate,post,{},False,,Not individually executed
CONTROL-02780,templates/partials/professional_development/request_form.html,357,field,input,Issuing institution,,issuing_institution,text,,/my-professional-development/request/{{ instance.id }}/certificate,post,{},False,,Not individually executed
CONTROL-02781,templates/partials/professional_development/request_form.html,359,button,button,Upload Certificate,,,submit,,/my-professional-development/request/{{ instance.id }}/certificate,post,{},False,,Not individually executed
CONTROL-02782,templates/partials/professional_development/request_form.html,367,field,input,BambooHR reference (optional),,bamboohr_reference,text,,/my-professional-development/request/{{ instance.id }}/action,post,{},False,,Not individually executed
CONTROL-02783,templates/partials/professional_development/request_form.html,368,button,button,Confirm BambooHR Upload,,,submit,,/my-professional-development/request/{{ instance.id }}/action,post,{},False,,Not individually executed
CONTROL-02784,templates/partials/professional_development/request_form.html,376,field,input,Actual spent,,actual_spent,number,,/my-professional-development/request/{{ instance.id }}/action,post,{},False,,Not individually executed
CONTROL-02785,templates/partials/professional_development/request_form.html,377,field,input,Returned amount,,returned_amount,number,,/my-professional-development/request/{{ instance.id }}/action,post,{},False,,Not individually executed
CONTROL-02786,templates/partials/professional_development/request_form.html,380,field,input,NetSuite expense ID,,netsuite_expense_id,text,,/my-professional-development/request/{{ instance.id }}/action,post,{},False,,Not individually executed
CONTROL-02787,templates/partials/professional_development/request_form.html,382,field,textarea,Variance note,,variance_note,,,/my-professional-development/request/{{ instance.id }}/action,post,{},False,,Not individually executed
CONTROL-02788,templates/partials/professional_development/request_form.html,383,button,button,Submit Accountability,,,submit,,/my-professional-development/request/{{ instance.id }}/action,post,{},False,,Not individually executed
CONTROL-02789,templates/partials/programme_rollout/school_list_drawer.html,35,link,a,,,,,{{ row.url }},,,{},False,,Not individually executed
CONTROL-02790,templates/partials/programme_rollout/spiritual.html,19,link,a,SSA performance →,,,,/ssa?fy={{ fy }},,,{},False,,Not individually executed
CONTROL-02791,templates/partials/programme_rollout/spiritual.html,59,link,a,{{ row.name }},,,,{{ row.profile_url }},,,{},False,,Not individually executed
CONTROL-02792,templates/partials/programme_rollout/spiritual.html,67,link,a,Oversight,,,,{{ row.oversight_url }},,,{},False,,Not individually executed
CONTROL-02793,templates/partials/programme_rollout/spiritual.html,113,link,a,School,,,,{{ row.school_url }},,,{},False,,Not individually executed
CONTROL-02794,templates/partials/programme_rollout/spiritual.html,114,link,a,Plan,,,,{{ row.school_url }},,,"{""hx-get"": ""{{ row.plan_url }}"", ""hx-target"": ""#drawer-container"", ""hx-swap"": ""innerHTML""}",False,,Not individually executed
CONTROL-02795,templates/partials/programme_rollout/spiritual.html,225,link,a,Training feedback →,,,,/cce-leadership/feedback,,,{},False,,Not individually executed
CONTROL-02796,templates/partials/programme_rollout/ssa.html,17,link,a,SSA performance →,,,,/ssa?fy={{ fy }},,,{},False,,Not individually executed
CONTROL-02797,templates/partials/programme_rollout/ssa.html,36,link,a,{{ row.name }},,,,{{ row.profile_url }},,,{},False,,Not individually executed
CONTROL-02798,templates/partials/programme_rollout/ssa.html,43,link,a,Not planned,,,,{{ schools_url }}?kind=ssa_not_planned&member={{ row.staff_id }}&{{ carry_query }},,,"{""hx-get"": ""{{ schools_url }}?kind=ssa_not_planned&member={{ row.staff_id }}&{{ carry_query }}"", ""hx-target"": ""#drawer-container"", ""hx-swap"": ""innerHTML""}",False,,Not individually executed
CONTROL-02799,templates/partials/programme_rollout/ssa.html,44,link,a,Awaiting,,,,{{ schools_url }}?kind=ssa_awaiting&member={{ row.staff_id }}&{{ carry_query }},,,"{""hx-get"": ""{{ schools_url }}?kind=ssa_awaiting&member={{ row.staff_id }}&{{ carry_query }}"", ""hx-target"": ""#drawer-container"", ""hx-swap"": ""innerHTML""}",False,,Not individually executed
CONTROL-02800,templates/partials/programme_rollout/ssa.html,45,link,a,Oversight,,,,{{ row.oversight_url }},,,{},False,,Not individually executed
CONTROL-02801,templates/partials/programme_rollout/ssa.html,63,link,a,Not planned,,,,{{ schools_url }}?kind=ssa_not_planned&{{ carry_query }},,,"{""hx-get"": ""{{ schools_url }}?kind=ssa_not_planned&{{ carry_query }}"", ""hx-target"": ""#drawer-container"", ""hx-swap"": ""innerHTML""}",False,,Not individually executed
